,Step,Cell#,Current_value,Target_value,Change_value,Count,Total_change,check
0,4,72,7,4,-3,1,-3,False
2,287,59,8,4,-4,1,-4,False
38,2314,22,7,9,2,2,4,False
67,2474,76,8,9,1,1,1,False
0,82,6,6,2,-4,1,16,True
1,308,55,7,3,-4,1,4,True
2,457,58,5,3,-2,3,4,True
3,680,9,4,6,2,1,-2,True
4,841,82,5,4,-1,2,1,True
6,1334,75,7,2,-5,3,0,True
7,1364,78,1,7,6,5,-18,True
8,1410,19,4,9,5,4,-10,True
10,1597,76,9,5,-4,3,-4,True
11,1669,58,3,8,5,1,-10,True
12,1696,53,2,5,3,6,0,True
13,1698,54,9,3,-6,3,18,True
16,1764,44,5,1,-4,9,4,True
21,2048,30,3,6,3,2,0,True
23,2114,80,2,8,6,3,-18,True
25,2152,13,1,4,3,12,-21,True
26,2153,64,9,6,-3,2,3,True
28,2181,52,6,5,-1,1,0,True
30,2206,27,1,6,5,4,-20,True
31,2232,13,4,3,-1,6,-2,True
32,2272,13,3,2,-1,15,-4,True
33,2280,80,8,5,-3,1,0,True
34,2300,94,3,1,-2,23,-8,True
37,2328,13,2,4,2,6,-12,True
38,2344,21,1,8,7,3,7,True
39,2347,21,8,0,-8,18,-24,True
40,2354,57,1,2,1,46,0,True
43,2368,34,0,9,9,49,-54,True
50,2428,60,3,0,-3,60,-3,True
51,2431,21,0,5,5,16,-80,True
56,2452,11,6,0,-6,28,-36,True
58,2457,94,1,9,8,18,-40,True
59,2458,44,7,0,-7,21,7,True
60,2461,78,4,0,-4,46,8,True
67,2485,15,2,0,-2,114,-10,True
68,2493,28,0,1,1,280,-3,True
71,2496,32,2,9,7,12,28,True
